Depths,CAL,GR,SP,LLD,LLS,AC,DEN,Liths
1450.0,8.69,102.967,-6.893,10.911,14.44,399.487,2.234,гЭвГбв
1450.125,8.677,107.044,-7.095,11.13,14.647,399.346,2.221,гЭвГбв
1450.25,8.662,115.3,-6.909,12.986,16.934,399.2,2.194,гЭвГбв
1450.375,8.656,122.437,-6.886,15.217,19.643,399.19,2.163,гЭвГбв
1450.5,8.656,134.592,-6.951,18.927,24.177,399.121,2.127,гЭвГбв
1450.625,8.655,141.929,-6.971,22.603,28.864,399.413,2.115,гЭвГбв
1450.75,8.668,146.405,-6.845,27.416,35.111,407.108,2.114,гЭвГбв
1450.875,8.672,144.805,-6.715,28.738,36.891,411.833,2.128,гЭвГбв
1451.0,8.68,138.6,-7.247,26.93,34.951,417.84,2.153,гЭвГбв
1451.125,8.684,134.711,-7.85,26.123,33.937,423.6,2.172,гЭвГбв
1451.25,8.685,133.469,-8.387,24.823,32.336,425.772,2.193,гЭвГбв
1451.375,8.688,136.281,-8.471,24.53,31.952,428.951,2.207,гЭвГбв
1451.5,8.692,139.884,-8.444,25.39,32.98,459.536,2.211,гЭвГбв
1451.625,8.692,141.487,-8.516,26.65,34.577,457.733,2.201,гЭвГбв
1451.75,8.696,139.311,-8.518,26.383,33.816,442.308,2.181,гЭвГбв
1451.875,8.7,138.368,-8.629,24.752,31.576,429.372,2.168,гЭвГбв
1452.0,8.7,137.629,-8.544,22.424,28.561,412.956,2.151,гЭвГбв
1452.125,8.704,138.291,-8.436,20.909,26.591,403.564,2.144,гЭвГбв
1452.25,8.704,138.8,-8.426,17.806,22.499,407.305,2.14,гЭвГбв
1452.375,8.7,138.895,-8.525,14.763,18.638,419.332,2.152,гЭвГбв
1452.5,8.704,134.212,-8.36,11.354,14.34,424.375,2.175,гЭвГбв
1452.625,8.756,130.718,-8.126,10.396,13.088,434.785,2.184,гЭвГбв
1452.75,8.811,127.711,-7.599,9.41,11.775,456.459,2.197,гЭвГбв
1452.875,8.838,128.588,-7.227,8.802,10.949,451.439,2.17,гЭвГбв
1453.0,9.135,132.488,-6.891,8.752,10.654,434.265,2.139,гЭвГбв
1453.125,9.579,135.825,-6.884,9.967,11.818,424.564,2.114,Фрбв
1453.25,10.028,135.667,-6.803,8.191,9.205,409.75,2.083,Фрбв
1453.375,10.241,131.697,-6.927,6.479,7.109,401.802,2.074,Фрбв
1453.5,10.143,118.636,-7.126,4.4,4.805,418.577,2.076,Фрбв
1453.625,10.069,109.949,-7.142,3.541,3.92,423.805,2.091,Фрбв
1453.75,10.354,103.834,-6.987,2.722,3.077,424.096,2.096,Фрбв
1453.875,10.609,103.625,-6.961,2.565,2.889,438.908,2.103,Фрбв
1454.0,10.866,106.261,-6.944,2.761,3.018,458.927,2.125,Фрбв
1454.125,11.005,106.603,-6.819,2.915,3.176,452.307,2.138,Фрбв
1454.25,10.908,106.186,-6.655,3.082,3.384,435.635,2.148,Фрбв
1454.375,10.734,105.077,-6.721,3.175,3.491,423.184,2.135,Фрбв
1454.5,10.574,106.767,-7.427,3.231,3.564,408.834,2.112,Фрбв
1454.625,10.474,108.577,-7.879,3.143,3.481,400.354,2.104,Фрбв
